candidate_id	fonte	url_canonica	titulo_literal	data_publicacao	precisao_data	formato	clube_principal	clubes_secundarios	consulta	capturado_em_utc	pertinencia_financeira_2024	duplicado_de	decisao	revisor	observacoes
CAND-2025-04-GE-001	ge	https://ge.globo.com/futebol/times/palmeiras/noticia/2025/04/09/palmeiras-arrecada-r-440-milhoes-com-vendas-e-impulsiona-faturamento-recorde-em-2024.ghtml	Palmeiras arrecada R$ 440 milhões com vendas e impulsiona faturamento recorde em 2024	2025-04-09T11:00:00-03:00	minuto	artigo	Palmeiras		balanço 2024	2026-09-16T06:32:48Z	central		pendente		Matéria central sobre as contas de 2024; sem inferência editorial.
CAND-2025-04-GE-002	ge	https://ge.globo.com/futebol/times/corinthians/noticia/2025/04/19/corinthians-fecha-2024-com-deficit-de-r-1817-milhoes-divida-vai-a-r-25-bilhoes-e-auditoria-faz-alerta.ghtml	Corinthians fecha 2024 com déficit de R$ 181,7 milhões, dívida vai a R$ 2,5 bilhões e auditoria faz alerta	2025-04-19T12:55:00-03:00	minuto	artigo	Corinthians		balanço 2024	2026-09-16T06:32:48Z	central		pendente		Matéria central sobre as contas de 2024; sem inferência editorial.
CAND-2025-04-GE-003	ge	https://ge.globo.com/futebol/times/sao-paulo/noticia/2025/04/28/sao-paulo-divulga-balanco-com-deficit-em-2024-e-divida-total-de-r-968-milhoes-veja-detalhes.ghtml	São Paulo divulga balanço com déficit em 2024 e dívida total de R$ 968 milhões; veja detalhes	2025-04-28T18:44:00-03:00	minuto	artigo	São Paulo FC		balanço 2024	2026-09-16T06:32:48Z	central		pendente		Matéria central sobre as contas de 2024; a data da matéria não é t0 primário.
CAND-2025-04-ESPN-001	ESPN Brasil	https://www.espn.com.br/futebol/palmeiras/artigo/_/id/14994099/palmeiras-balanco-2024-receita-bilionaria-bolada-com-vendas-de-jogadores-e-valor-a-receber-da-wtorre-veja-tudo	Finanças do Palmeiras mostram receita bilionária, 'bolada' com vendas de jogadores e valor a receber da WTorre; veja tudo	2025-04-02T11:22:00-03:00	minuto	artigo	Palmeiras		balanço 2024	2026-09-16T06:35:52Z	central		pendente		Matéria informa a divulgação do relatório das demonstrações financeiras de 2024.
CAND-2025-04-ESPN-002	ESPN Brasil	https://www.espn.com.br/futebol/sao-paulo/artigo/_/id/15025514/sao-paulo-julio-casares-justifica-deficit-e-promete-entregar-clube-em-otima-situacao	Casares justifica déficit de R$ 287 milhões do São Paulo e promete entregar clube em 'ótima situação' em 2027	2025-04-08T23:33:00-03:00	minuto	artigo	São Paulo FC		balanço 2024	2026-09-16T06:35:52Z	central		pendente		Matéria sobre o balanço de 2024 apresentado ao Conselho Deliberativo.
CAND-2025-04-ESPN-003	ESPN Brasil	https://www.espn.com.br/futebol/corinthians/artigo/_/id/15117987/vender-tudo-deve-425-milhoes-balanco-corinthians-continuidade-duvida-significativa	Se vender tudo que tem ainda deve R$ 425 milhões: balanço põe 'continuidade' do Corinthians em 'dúvida significativa'	2025-04-30T09:32:00-03:00	minuto	artigo	Corinthians		balanço 2024	2026-09-16T06:35:52Z	central		pendente		Matéria sobre o balanço auditado de 2024; não constitui conclusão do Observatório.
